"नलिन विलोचन शर्मा का जन्म कब और कहाँ हुआ था?","18 फरवरी 1916","पटना,15 मार्च 1915, वाराणसी","18 फरवरी 1916, आरा","20 जनवरी 1917, रांची",a
नलिन विलोचन शर्मा के पिता का नाम क्या था?,हरप्रसाद दास जैन,रत्नावती शर्मा,रामावतार शर्मा,केसरी कुमार,c
नलिन विलोचन शर्मा ने किस भाषा में एम.ए. किया?,अंग्रेजी और हिंदी,संस्कृत और हिंदी,उर्दू और हिंदी,संस्कृत और अंग्रेजी,b
पटना विश्वविद्यालय में नलिन विलोचन शर्मा किस पद पर थे?,कुलपति,हिंदी विभाग के अध्यक्ष,दर्शन विभाग के प्रमुख,डीन,b
नलिन विलोचन शर्मा का निधन कब हुआ?,12 सितंबर 1961,10 अगस्त 1960,15 जून 1962,18 मार्च 1963,a
नलिन विलोचन शर्मा की प्रमुख काव्य शैलियों में से कौन-सी शैली थी?,प्रपद्यवाद,छायावाद,प्रगतिवाद,रहस्यवाद,a
'दृष्टिकोण' और 'साहित्य का इतिहास दर्शन' किस प्रकार की रचनाएँ हैं?,कहानी संग्रह,आलोचनात्मक ग्रंथ,उपन्यास,नाटक,b
नलिन विलोचन शर्मा की किस काव्य संग्रह में केसरी कुमार और नरेश ने सहयोग किया था?,नकेन के प्रपद्य,विष के दाँत,नकेन दो,सदल मिश्र ग्रंथावली,a
प्रयोगवाद का वास्तविक प्रारंभ किसके द्वारा हुआ माना जाता है?,प्रेमचंद,नलिन विलोचन शर्मा,महादेवी वर्मा,हरिवंश राय बच्चन,b
नलिन विलोचन शर्मा की आलोचना की भाषा कैसी मानी जाती है?,सरल और स्पष्ट,गठी हुई और संकेतात्मक,परंपरागत,भावनात्मक,b
नलिन विलोचन शर्मा की किस रचना में मध्यवर्ग के अंतर्विरोधों को उजागर किया गया है?,विष के दाँत,नकेन दो,दृष्टिकोण,मानदंड,a
'संत परंपरा और साहित्य' किस प्रकार की रचना है?,काव्य संग्रह,संपादित ग्रंथ,उपन्यास,नाटक,b
नलिन विलोचन शर्मा ने किस समस्या पर सबसे अधिक ध्यान केंद्रित किया है?,आर्थिक भेदभाव,धार्मिक भेदभाव,जातीय भेदभाव,सामाजिक भेदभाव और लिंग भेद,d
नलिन विलोचन शर्मा की कहानी 'विष के दाँत' किस संग्रह में शामिल है?,सत्रह असंगृहीत पूर्व कहानियाँ,नकेन के प्रपद्य,नकेन दो,विष के दाँत तथा अन्य कहानियाँ,d
'सदल मिश्र ग्रंथावली' किसने संपादित की है?,नलिन विलोचन शर्मा,रामावतार शर्मा,हरप्रसाद दास जैन,अयोध्या प्रसाद खत्री,a
कौन-सी काव्य शैली नलिन विलोचन शर्मा से जुड़ी हुई है?,छायावाद,प्रपद्यवाद,नई कविता,रहस्यवाद,b
नलिन विलोचन शर्मा किस विश्वविद्यालय में हिंदी विभाग के अध्यक्ष थे?,आरा विश्वविद्यालय,रांची विश्वविद्यालय,पटना विश्वविद्यालय,दिल्ली विश्वविद्यालय,c
नलिन विलोचन शर्मा ने 'हिंदी उपन्यास विशेषतः प्रेमचंद' किस रूप में लिखा था?,उपन्यास,आलोचनात्मक ग्रंथ,कविता,नाटक,b
नलिन विलोचन शर्मा की आलोचना किस परंपरा का समर्थन करती है?,आधुनिक शैली,परंपरागत दृष्टि,छायावादी विचार,रीतिकालीन शैली,a
"नलिन विलोचन शर्मा की रचनाओं में किस तरह के कथ्य, शिल्प, और भाषा के तत्व दिखते हैं?",परंपरागत,नवीनता,अति आधुनिक,प्राचीन,b